month,segment_key,share,required_saos,effective_asp,effective_cw_rate,projected_pipeline,projected_bookings,projected_deals,capacity_flag,weighted_roi,in_window_factor,in_window_bookings,deferred_bookings,product,channel,period
10,EOR.Partner,0.3299999999999997,1908.1767507357476,11250.0,0.2799999999999999,21466988.44577716,6010756.764817604,534,1,3149.9999999999995,0.8,4808605.411854084,1202151.3529635204,EOR,Partner,10
10,Payroll.Marketing,0.05,289.11768950541654,12000.0,0.2,3469412.2740649986,693882.4548129998,58,1,2400.0,1.0,693882.4548129998,0.0,Payroll,Marketing,10
10,Payroll.Outbound,0.03,173.4706137032499,15000.0,0.1,2602059.205548749,260205.9205548749,17,1,1500.0,1.0,260205.9205548749,0.0,Payroll,Outbound,10
10,Payroll.Partner,0.05,289.11768950541654,20000.0,0.12,5782353.790108331,693882.4548129996,35,1,2400.0,1.0,693882.4548129996,0.0,Payroll,Partner,10
11,CM.Marketing,0.03,172.60147525572285,5000.0,0.35,863007.3762786143,302052.581697515,60,1,1750.0,0.75,226539.43627313623,75513.14542437874,CM,Marketing,11
11,CM.Outbound,0.03,172.60147525572285,7000.0,0.15,1208210.32679006,181231.549018509,26,1,1050.0,0.75,135923.66176388174,45307.88725462725,CM,Outbound,11
11,CM.Partner,0.03,172.60147525572285,8000.0,0.2,1380811.8020457828,276162.3604091566,35,1,1600.0,0.75,207121.77030686743,69040.59010228915,CM,Partner,11
11,EOR.Marketing,0.4,2301.353003409638,7500.0,0.52,17260147.525572285,8975276.713297589,1197,1,3900.0,0.4,3590110.685319036,5385166.027978553,EOR,Marketing,11
11,EOR.Outbound,0.04,230.1353003409638,12500.0,0.3,2876691.2542620474,863007.3762786142,69,1,3750.0,0.4,345202.9505114457,517804.42576716846,EOR,Outbound,11
11,EOR.Partner,0.08,460.2706006819276,13300.20701867238,0.2799999999999999,6121694.273678325,1714074.396629931,129,1,3724.057965228266,0.4,685629.7586519724,1028444.6379779584,EOR,Partner,11
11,Payroll.Marketing,0.26,1495.879452216265,9000.0,0.2,13462915.069946386,2692583.013989277,299,1,1800.0,0.8,2154066.411191422,538516.6027978553,Payroll,Marketing,11
11,Payroll.Outbound,0.03,172.60147525572285,15000.0,0.1,2589022.1288358425,258902.21288358423,17,1,1500.0,0.8,207121.77030686743,51780.44257671684,Payroll,Outbound,11
11,Payroll.Partner,0.0999999999999996,575.3382508524074,15806.069671718104,0.12,9093836.47777758,1091260.3773333095,69,1,1896.7283606061728,0.8,873008.3018666477,218252.07546666183,Payroll,Partner,11
12,CM.Marketing,0.03,171.73957962859183,5000.0,0.35,858697.8981429591,300544.2643500357,60,1,1750.0,0.4,120217.70574001428,180326.5586100214,CM,Marketing,12
12,CM.Outbound,0.03,171.73957962859183,7000.0,0.15,1202177.0574001428,180326.5586100214,26,1,1050.0,0.4,72130.62344400857,108195.93516601285,CM,Outbound,12
12,CM.Partner,0.03,171.73957962859183,8000.0,0.2,1373916.637028735,274783.32740574697,34,1,1600.0,0.4,109913.3309622988,164869.99644344818,CM,Partner,12
12,EOR.Marketing,0.03,171.73957962859183,10000.0,0.65,1717395.7962859182,1116307.2675858468,112,1,6500.0,0.1,111630.72675858469,1004676.5408272622,EOR,Marketing,12
12,EOR.Outbound,0.03,171.73957962859183,12500.0,0.3,2146744.745357398,644023.4236072194,52,1,3750.0,0.1,64402.34236072194,579621.0812464975,EOR,Outbound,12
12,EOR.Partner,0.03,171.73957962859183,15000.0,0.35,2576093.6944288774,901632.7930501072,60,1,5250.0,0.1,90163.27930501071,811469.5137450964,EOR,Partner,12
12,Payroll.Marketing,0.4,2289.861061714558,9000.0,0.2,20608749.555431023,4121749.911086205,458,1,1800.0,0.5,2060874.9555431025,2060874.9555431025,Payroll,Marketing,12
12,Payroll.Outbound,0.03,171.73957962859183,15000.0,0.1,2576093.6944288774,257609.36944288775,17,1,1500.0,0.5,128804.68472144387,128804.68472144387,Payroll,Outbound,12
12,Payroll.Partner,0.3899999999999998,2232.6145351716928,15000.0,0.12,33489218.027575392,4018706.163309047,268,1,1800.0,0.5,2009353.0816545235,2009353.0816545235,Payroll,Partner,12
