sao_month,booking_month,segment_key,product,delay_months,probability,sao_bookings,realized_bookings,in_window
6,9,EOR.Partner,EOR,3,0.2,5264623.955431753,1052924.7910863506,True
6,6,Payroll.Marketing,Payroll,0,0.5,417827.2980501394,208913.6490250697,True
6,7,Payroll.Marketing,Payroll,1,0.3,417827.2980501394,125348.18941504181,True
6,8,Payroll.Marketing,Payroll,2,0.2,417827.2980501394,83565.45961002789,True
6,6,Payroll.Outbound,Payroll,0,0.5,208913.64902506972,104456.82451253486,True
6,7,Payroll.Outbound,Payroll,1,0.3,208913.64902506972,62674.09470752091,True
6,8,Payroll.Outbound,Payroll,2,0.2,208913.64902506972,41782.72980501395,True
6,6,Payroll.Partner,Payroll,0,0.5,417827.2980501394,208913.6490250697,True
6,7,Payroll.Partner,Payroll,1,0.3,417827.2980501394,125348.18941504181,True
6,8,Payroll.Partner,Payroll,2,0.2,417827.2980501394,83565.45961002789,True
7,7,CM.Marketing,CM,0,0.4,289298.14385150815,115719.25754060327,True
7,8,CM.Marketing,CM,1,0.35,289298.14385150815,101254.35034802785,True
7,9,CM.Marketing,CM,2,0.15,289298.14385150815,43394.721577726224,True
7,10,CM.Marketing,CM,3,0.1,289298.14385150815,28929.814385150818,True
7,7,CM.Outbound,CM,0,0.4,173578.88631090493,69431.55452436197,True
7,8,CM.Outbound,CM,1,0.35,173578.88631090493,60752.61020881672,True
7,9,CM.Outbound,CM,2,0.15,173578.88631090493,26036.83294663574,True
7,10,CM.Outbound,CM,3,0.1,173578.88631090493,17357.888631090493,True
7,7,CM.Partner,CM,0,0.4,264501.16009280755,105800.46403712302,True
7,8,CM.Partner,CM,1,0.35,264501.16009280755,92575.40603248264,True
7,9,CM.Partner,CM,2,0.15,264501.16009280755,39675.17401392113,True
7,10,CM.Partner,CM,3,0.1,264501.16009280755,26450.116009280755,True
7,7,EOR.Marketing,EOR,0,0.1,8596287.703016246,859628.7703016247,True
7,8,EOR.Marketing,EOR,1,0.3,8596287.703016246,2578886.3109048735,True
7,9,EOR.Marketing,EOR,2,0.4,8596287.703016246,3438515.0812064987,True
7,10,EOR.Marketing,EOR,3,0.2,8596287.703016246,1719257.5406032493,True
7,7,EOR.Outbound,EOR,0,0.1,826566.1252900235,82656.61252900236,True
7,8,EOR.Outbound,EOR,1,0.3,826566.1252900235,247969.83758700703,True
7,9,EOR.Outbound,EOR,2,0.4,826566.1252900235,330626.45011600945,True
7,10,EOR.Outbound,EOR,3,0.2,826566.1252900235,165313.22505800473,True
7,7,EOR.Partner,EOR,0,0.1,6422418.793503477,642241.8793503478,True
7,8,EOR.Partner,EOR,1,0.3,6422418.793503477,1926725.638051043,True
7,9,EOR.Partner,EOR,2,0.4,6422418.793503477,2568967.517401391,True
7,10,EOR.Partner,EOR,3,0.2,6422418.793503477,1284483.7587006956,True
7,7,Payroll.Marketing,Payroll,0,0.5,495939.67517401406,247969.83758700703,True
7,8,Payroll.Marketing,Payroll,1,0.3,495939.67517401406,148781.9025522042,True
7,9,Payroll.Marketing,Payroll,2,0.2,495939.67517401406,99187.93503480282,True
7,7,Payroll.Outbound,Payroll,0,0.5,247969.83758700706,123984.91879350353,True
7,8,Payroll.Outbound,Payroll,1,0.3,247969.83758700706,74390.95127610212,True
7,9,Payroll.Outbound,Payroll,2,0.2,247969.83758700706,49593.96751740141,True
7,7,Payroll.Partner,Payroll,0,0.5,495939.675174014,247969.837587007,True
7,8,Payroll.Partner,Payroll,1,0.3,495939.675174014,148781.9025522042,True
7,9,Payroll.Partner,Payroll,2,0.2,495939.675174014,99187.93503480281,True
8,8,CM.Marketing,CM,0,0.4,237525.6250840167,95010.25003360669,True
8,9,CM.Marketing,CM,1,0.35,237525.6250840167,83133.96877940584,True
8,10,CM.Marketing,CM,2,0.15,237525.6250840167,35628.843762602504,True
8,11,CM.Marketing,CM,3,0.1,237525.6250840167,23752.562508401672,True
8,8,CM.Outbound,CM,0,0.4,142515.37505041005,57006.15002016402,True
8,9,CM.Outbound,CM,1,0.35,142515.37505041005,49880.38126764351,True
8,10,CM.Outbound,CM,2,0.15,142515.37505041005,21377.306257561508,True
8,11,CM.Outbound,CM,3,0.1,142515.37505041005,14251.537505041006,True
8,8,CM.Partner,CM,0,0.4,217166.28579110105,86866.51431644043,True
8,9,CM.Partner,CM,1,0.35,217166.28579110105,76008.20002688536,True
8,10,CM.Partner,CM,2,0.15,217166.28579110105,32574.942868665155,True
8,11,CM.Partner,CM,3,0.1,217166.28579110105,21716.628579110107,True
8,8,EOR.Marketing,EOR,0,0.1,7057904.288210784,705790.4288210785,True
8,9,EOR.Marketing,EOR,1,0.3,7057904.288210784,2117371.286463235,True
8,10,EOR.Marketing,EOR,2,0.4,7057904.288210784,2823161.715284314,True
8,11,EOR.Marketing,EOR,3,0.2,7057904.288210784,1411580.857642157,True
8,8,EOR.Outbound,EOR,0,0.1,823571.6287323922,82357.16287323923,True
8,9,EOR.Outbound,EOR,1,0.3,823571.6287323922,247071.48861971765,True
8,10,EOR.Outbound,EOR,2,0.4,823571.6287323922,329428.6514929569,True
8,11,EOR.Outbound,EOR,3,0.2,823571.6287323922,164714.32574647845,True
8,8,EOR.Partner,EOR,0,0.1,5130553.5018147575,513055.35018147575,True
8,9,EOR.Partner,EOR,1,0.3,5130553.5018147575,1539166.0505444272,True
8,10,EOR.Partner,EOR,2,0.4,5130553.5018147575,2052221.400725903,True
8,11,EOR.Partner,EOR,3,0.2,5130553.5018147575,1026110.7003629515,True
8,8,Payroll.Marketing,Payroll,0,0.5,407186.7858583144,203593.3929291572,True
8,9,Payroll.Marketing,Payroll,1,0.3,407186.7858583144,122156.03575749432,True
8,10,Payroll.Marketing,Payroll,2,0.2,407186.7858583144,81437.3571716629,True
8,8,Payroll.Outbound,Payroll,0,0.5,203593.3929291572,101796.6964645786,True
8,9,Payroll.Outbound,Payroll,1,0.3,203593.3929291572,61078.01787874716,True
8,10,Payroll.Outbound,Payroll,2,0.2,203593.3929291572,40718.67858583145,True
8,8,Payroll.Partner,Payroll,0,0.5,407186.78585831437,203593.39292915718,True
8,9,Payroll.Partner,Payroll,1,0.3,407186.78585831437,122156.0357574943,True
8,10,Payroll.Partner,Payroll,2,0.2,407186.78585831437,81437.35717166288,True
9,9,CM.Marketing,CM,0,0.4,258965.87743732598,103586.35097493039,True
9,10,CM.Marketing,CM,1,0.35,258965.87743732598,90638.05710306409,True
9,11,CM.Marketing,CM,2,0.15,258965.87743732598,38844.8816155989,True
9,12,CM.Marketing,CM,3,0.1,258965.87743732598,25896.587743732598,True
9,9,CM.Outbound,CM,0,0.4,155379.5264623956,62151.810584958235,True
9,10,CM.Outbound,CM,1,0.35,155379.5264623956,54382.834261838456,True
9,11,CM.Outbound,CM,2,0.15,155379.5264623956,23306.92896935934,True
9,12,CM.Outbound,CM,3,0.1,155379.5264623956,15537.952646239559,True
9,9,CM.Partner,CM,0,0.4,236768.80222841233,94707.52089136494,True
9,10,CM.Partner,CM,1,0.35,236768.80222841233,82869.08077994431,True
9,11,CM.Partner,CM,2,0.15,236768.80222841233,35515.32033426185,True
9,12,CM.Partner,CM,3,0.1,236768.80222841233,23676.880222841235,True
9,9,EOR.Marketing,EOR,0,0.1,7694986.072423402,769498.6072423402,True
9,10,EOR.Marketing,EOR,1,0.3,7694986.072423402,2308495.8217270207,True
9,11,EOR.Marketing,EOR,2,0.4,7694986.072423402,3077994.428969361,True
9,12,EOR.Marketing,EOR,3,0.2,7694986.072423402,1538997.2144846804,True
9,9,EOR.Outbound,EOR,0,0.1,887883.0083565463,88788.30083565463,True
9,10,EOR.Outbound,EOR,1,0.3,887883.0083565463,266364.9025069639,True
9,11,EOR.Outbound,EOR,2,0.4,887883.0083565463,355153.20334261854,True
9,12,EOR.Outbound,EOR,3,0.2,887883.0083565463,177576.60167130927,True
9,9,EOR.Partner,EOR,0,0.1,5593662.952646238,559366.2952646238,True
9,10,EOR.Partner,EOR,1,0.3,5593662.952646238,1678098.8857938712,True
9,11,EOR.Partner,EOR,2,0.4,5593662.952646238,2237465.1810584953,True
9,12,EOR.Partner,EOR,3,0.2,5593662.952646238,1118732.5905292477,True
